PropertyName,BHK,Location,Area,ListingPrice,FurnishStatus,City,Description
Peninsula Address One,2,Gahunje,580,13000.0,Unfurnished,Pune,"Welcome to your new home in Gahunje, Pune! This charming 2bedroom Flats, located on the second floor of the wellregarded Peninsula Address One project, offers a serene garden view that enhances the living experience.With a spacious area of 580 square feet, this unfurnished apartment is perfect for families and bachelors alike, providing a blank canvas for you to personalize your"
Samarthshree Vanashree Apartments,2,Bavdhan,1000,30000.0,Furnished,Pune,"Experience the ease of city living in Bavdhan, Pune, with this furnished 2-bedroom, 2-bathroom Flats for rent at 30 thousand per month in Samarthshree Vanashree Flats.Spanning 1000 square feet on the 4th floor of a 5-story building, this home offers a comfortable community view from its balcony. Inside, you'll find tiled flooring and a well-maintained interior, reflecting an age of"
Magarpatta Pancham Apartment Dhayari,2,Dhayari,700,23500.0,Semi-Furnished,Pune,"A bright 2-bedroom Flats is now available for rent in Pune Dhayari locality, offering a comfortable and convenient lifestyle for families. Situated on the 23rd floor of the Magarpatta Pancham Flats Dhayari, this semi-furnished home spans 700 square feet and boasts a pleasant road view.You will find two well-appointed bathrooms and a dedicated parking space.The property is newly built, approximately 5-7"
Om Heights Pune,1,Shivane,462,13000.0,Semi-Furnished,Pune,"Welcome to your new home in the heart of Shivane, Pune! This charming semifurnished 1bedroom Flats in the Om Heights Pune project is now available for rent at a breakthrough price of just 13 thousand.With a cozy area of 462 square feet, this apartment offers a perfect blend of comfort and style, making it an ideal choice for singles or"
Mandar Apartments,2,Andheri West,775,75000.0,Semi-Furnished,Mumbai,"Make your move to a convenient and comfortable lifestyle in this semi-furnished, two-bedroom, two-bathroom Flats on the twelfth floor of Mandar Flats in Andheri West, Mumbai, available for rent at 75,000 per month.This well-maintained home offers a spacious 775 square feet with a pleasant road view from its balcony, perfect for families looking for a safe and secure locality with"
Lodha Aria,3,Sindhu Nagar,1900,185000.0,Semi-Furnished,Mumbai,"This spacious 1900 square feet, 3.5-bedroom, 4-bathroom Flats in Mumbai Sindhu Nagar offers a truly desirable living experience.Located within the well-regarded Lodha Aria project on the 12th floor of a 22-story building, this semi-furnished home boasts a breathtaking sea view from its balcony or terrace, enhanced by thoughtful interiors and convenient built-in wardrobes. Residents will appreciate the array of premium"
Evershine Greens,3,Andheri West,1600,125000.0,Furnished,Mumbai,"You will love living in this furnished 3-bedroom, 2-bathroom Flats in Mumbai Andheri West, situated on the 6th floor of the 13-story Evershine Greens building, offering a generous 1600 square feet of living space for 1.25 lakh per month.This well-maintained apartment boasts a lovely pool view and comes with a host of amenities designed for a comfortable family or bachelor"
Sheth Avante,1,Mumbai Central Suburbs,710,50000.0,Semi-Furnished,Mumbai,"This furnished 1.5-bedroom, 2-bathroom Flats in Mumbai Central Suburbs offers a fantastic living experience with 710 square feet of space on the 4th floor of the 25-story Sheth Avante.For a rent of 50,000, youll enjoy a prime location with tasteful interiors and a road view, perfect for families and bachelors alike. The building is newly built, less than a year"
Piramal Aranya,2,Byculla,1087,200000.0,Unfurnished,Mumbai,"Embrace a life of prestige and comfort in Byculla, Mumbai, with this exceptional unfurnished two-bedroom Flats, available for rent at 2 Lac. Located on the 44th floor of the esteemed Piramal Aranya, this spacious 1087 square feet home boasts stunning sea views and offers a truly luxurious lifestyle.The apartment is designed to be Vastu compliant and is wonderfully well-ventilated, ensuring a"
Raj White City,3,Kandivali East,1202,85000.0,Furnished,Mumbai,"Enjoy a luxurious lifestyle in Kandivali East, Mumbai, with this stunning furnished 3-bedroom, 3-bathroom Flats in Raj White City, available for rent at 85 thousand.Spanning 1202 square feet on the 10th floor of a 40-story building, this home offers a beautiful park view and ample natural light, embodying Vastu compliance for a harmonious living experience. Families will appreciate the proximity"
Kanakia Silicon Valley,3,Powai,1282,145000.0,Semi-Furnished,Mumbai,"This semi-furnished 3-bedroom, 3-bathroom Flats in Powai, Mumbai, offers a spacious 1282 square feet of living space with a pleasant garden view from the 10th floor of Kanakia Silicon Valley. Available for rent at 1.45 lakh, this property is situated in a prime, gated society known for its safety and security, making it an ideal choice for families and bachelors alike.Residents"
Worli Residency,2,Worli,600,76000.0,Semi-Furnished,Mumbai,"Consider this sea-facing, semi-furnished 2-bedroom 2-bathroom Flats in Worli, Mumbai, for rent at 76 thousand per month.Located in the well-regarded Worli Residency, this 600 Square Feet home is on the 20th floor of a 40-story building, offering a great vantage point with its sea view. It has been fully renovated and is Vastu compliant, ensuring a harmonious living space. The"
Kalpataru Radiance,3,Goregaon West,1500,121000.0,Unfurnished,Mumbai,"Experience a new level of comfortable living in Mumbai Goregaon West with this 1500 square feet, unfurnished 3-bedroom, 3-bathroom Flats in the well-known Kalpataru Radiance project.Situated on a high floor, this home offers a tranquil garden view and is part of a secure, gated society that emphasizes safety and a luxurious lifestyle, perfect for families looking for an affordable and"
Awesome Heights,3,Andheri East,1500,95000.0,Furnished,Mumbai,"You will find a comfortable lifestyle waiting for you in this furnished three-bedroom, three-bathroom Flats in Mumbai Andheri East area, listed for rent at 95,000.Located in the Awesome Heights building on the 7th floor, this home offers 1500 square feet of living space with a pleasant garden view. The apartment comes with one dedicated parking spot and has been well-maintained"
DB Orchid Ozone,1,Dahisar East,489,18000.0,Semi-Furnished,Mumbai,"Consider making your daily commute a breeze with this 1BHK semi-furnished Flats for rent in Dahisar East, Mumbai, situated on the 16th floor of the well-regarded DB Orchid Ozone project.Priced at 18 thousand per month, this 489 square feet home offers a community view and comes with the convenience of 1 dedicated parking spot. You will find everything you need"
Lalani Grandeur,2,Goregaon East,1075,60000.0,Semi-Furnished,Mumbai,"Looking for a comfortable and well-located home for your family in Mumbai. This semi-furnished 2-bedroom, 2-bathroom Flats in Lalani Grandeur, Goregaon East, is available for rent at 60 thousand per month.Spread across 1075 square feet on the 5th floor of a 23-story building, this Vastu-compliant property offers a peaceful vicinity with a road view.You`ll have access to an impressive range of"
Oberoi Realty Prisma,4,Andheri East,2131,350000.0,Semi-Furnished,Mumbai,"Experience an elevated lifestyle in Mumbai vibrant Andheri East with this exquisite 4-bedroom, 5-bathroom Flats, available for rent at 3.5 Lac. Situated on the 15th floor of the prestigious Oberoi Realty Prisma, this semi-furnished 2131 square feet home offers breathtaking lake views and is designed with Vastu compliance in mind.You will enjoy access to a plethora of luxury amenities including a"
LnT Realty Crescent Bay,2,Parel,788,150000.0,Semi-Furnished,Mumbai,"Experience the pinnacle of coastal living in this stunning semi-furnished two-bedroom, two-bathroom Flats located on the 25th floor of LnT Realty Crescent Bay in Parel, Mumbai.Priced at 1.5 Lac per month, this 788 square foot home offers breathtaking sea views and an unparalleled lifestyle. You will have access to a comprehensive suite of amenities, including a gymnasium, swimming pool, badminton"
Runwal Forests,2,Kanjurmarg West,768,70000.0,Semi-Furnished,Mumbai,"Life can be truly comfortable and convenient at Runwal Forests in Kanjurmarg West, Mumbai, with this semi-furnished 2-bedroom, 2-bathroom Flats available for rent at 70 thousand.This 21st-floor home offers a lovely garden view, and the entire building stands at 50 floors, providing a sense of elevation and space. Youll be part of a gated society known for its well-maintained grounds"
Kanakia Rainforest,2,Andheri East,698,85000.0,Furnished,Mumbai,"Your search for a comfortable Flats in Mumbais Andheri East might end here with this furnished 2-bedroom, 2-bathroom unit in Kanakia Rainforest.Located on the 7th floor with a pleasant garden view, this 698 Square Feet apartment comes with the convenience of 1 dedicated parking space and is situated in a building with 17 floors total, offering a well-established living environment"
Adityaraj Central,3,Ghatkopar East,1290,105000.0,Unfurnished,Mumbai,"Consider making Ghatkopar East your new neighborhood with this appealing 1290 square foot Flats at Adityaraj Central in Mumbai. Priced at Rs. 1.05 Lac per month negotiable, this unfurnished 3.5-bedroom, 4-bathroom home is situated on the 6th floor of a 15-story building, offering a pleasant community view.Built within the last year, it provides a secure and peaceful environment perfect for families.The"
Villar Ville,3,Colaba,1800,380000.0,Furnished,Mumbai,"Your search for an outstanding residence in Mumbai premier Colaba locality ends here with this magnificent 3-bedroom Flats in Villar Ville.Offering a generous 1800 square feet of living space, this furnished home on the 15th floor of a 20-story building boasts a breathtaking sea view and comes with two dedicated parking spots. You will enjoy access to a world-class lifestyle"
Omkar Alta Monte,3,Malad East,1876,149000.0,Semi-Furnished,Mumbai,"Experience a lifestyle of comfort and convenience in Malad East with this semi-furnished 3-bedroom, 3-bathroom Flats at Omkar Alta Monte. Priced at 1.49 Lac, this spacious home offers 1876 Square Feet of living space and a lovely Garden View from its balcony.The apartment comes with two dedicated parking spots and boasts a wide range of amenities including a gymnasium, swimming pool,"
Lodha World View,3,Worli,1704,550000.0,Furnished,Mumbai,"Consider a rental that offers unparalleled luxury and convenience in the desirable Worli area of Mumbai.This furnished 3-bedroom, 5-bathroom Flats in Lodha World View provides a spacious 1704 square feet of living space, making it ideal for those who appreciate room to breathe. The property is Vastu compliant, ensuring a harmonious living environment, and comes with access to a fantastic"
Dev Leo Tower,2,Oshiwara,670,85000.0,Unfurnished,Mumbai,"Live in Mumbai popular Oshiwara locality within the modern Dev Leo Tower, an unfurnished 2-bedroom, 1-bathroom Flats available for rent at 85 thousand per month.This spacious 670 square feet apartment is on the 25th floor of a 36-story building and offers a road view. Enjoy a luxury lifestyle with access to excellent amenities including a gymnasium, swimming pool, kids' play"
Kolte Patil Verve,3,Bangur Nagar,1023,95000.0,Unfurnished,Mumbai,"For those seeking a spacious and upscale Flats in Mumbai Bangur Nagar, this unfurnished 3-bedroom, 3-bathroom unit in Kolte Patil Verve presents an appealing rental option.Situated on the 12th floor of a 33-story building, the 1023 square feet apartment boasts a lovely lake view and is available for 95 thousand per month. Residents will appreciate the building extensive amenities, including"
Om Aishwarya Residency,3,Wakad,1635,35000.0,Unfurnished,Pune,"This spacious 3-bedroom, 3-bathroom unfurnished Flats in Wakad, Pune, offers a fantastic living experience with its generous 1635 Square Feet of space and a pleasant Road View from the 5th floor of Om Aishwarya Residency.Built over 5 floors, this apartment provides a comfortable home with 10+ years of property age, ensuring a well-established neighborhood. You will enjoy the convenience of"
Vrindavan Park Kothrud,2,Kothrud,1000,32000.0,Furnished,Pune,"2 BHK on rent in kothrud, furnish near Mahatma lane no. 4 . 1st floor with lift backup , 1 living room attach balcony , 2 western toilets and bathroom bathtub , security, reserve car parking, 1 July possession. Only for only family.  month brokerage applicable Rent : 32,000 and deposit : 60000 /-"
KNK Life 16,2,Katraj Kondhwa Road,800,22000.0,Furnished,Pune,"Could your next home be a bright and airy 2-bedroom, 2-bathroom Flats on the second floor of KNK Life 16 along Katraj Kondhwa Road in Pune.This furnished unit offers 800 square feet of comfortable living space with a pleasant community view and comes with one dedicated parking spot. You`ll have access to fantastic amenities including a gymnasium, swimming pool, kids`"
Ganga Puram CHS,2,Viman Nagar,1100,39000.0,Furnished,Pune,"Finding a comfortable and well-equipped place to live in Pune Viman Nagar is now a reality with this furnished 2-bedroom, 2-bathroom Flats in Ganga Puram CHS, available for rent at 39 thousand per month.This spacious home offers 1100 square feet of living space with a pleasant garden view, perfect for enjoying a bit of nature from your own home. Residents"
Anand Park Aundh,2,Aundh,1200,40000.0,Furnished,Pune,"If a convenient and comfortable living space in a prime Pune location is what you are looking for, this furnished 2-bedroom, 2-bathroom Flats in Anand Park Aundh is a fantastic choice, available for 40 thousand per month.Spanning 1200 square feet on the 5th floor of a 9-story building, this home is perfect for families and bachelors alike, offering essential amenities"
Mandarin 33 West Avenue,3,Baner,1730,50000.0,Semi-Furnished,Pune,"Consider making your next move to Pune Baner area with this attractive semi-furnished 3-bedroom, 4-bathroom Flats available for rent in the Mandarin 33 West Avenue project.This spacious home offers 1730 square feet of living space on the 2nd floor of a 14-story building, ensuring a comfortable and convenient lifestyle. Youll have access to excellent amenities including a gymnasium, swimming pool,"
Comfort Zone,2,Balewadi,1200,40000.0,Furnished,Pune,"Discover a comfortable and well-equipped lifestyle in Pune Balewadi, with this furnished two-bedroom, two-bathroom Flats in Comfort Zone, available for rent at 40 thousand.Situated on the fourth floor of a nine-story building, this apartment offers a pleasant garden view and spans 1200 square feet, making it an ideal choice for those seeking a good living space. Inside, you will find"
Potnis Parisar,3,Karve Nagar,1500,45000.0,Semi-Furnished,Pune,"A truly comfortable living experience awaits in Pune Karve Nagar with this semi-furnished, 3-bedroom, 3-bathroom Flats at Potnis Parisar.Spread across a generous 1500 square feet on the 7th floor of a 16-story building, this home offers plenty of space for families or bachelors alike, boasting a lovely Golf Course view from your balcony or terrace. The property is situated in"
Nilanjali CHS,2,Nagar Road,1090,45000.0,Furnished,Pune,"This nicely furnished 2-bedroom, 2-bathroom Flats in Pune Nagar Road offers a comfortable living space of 1090 square feet, perfect for anyone seeking a welcoming home.Located on the second floor of the Nilanjali CHS, a building with three floors in total, this apartment comes with the convenience of one dedicated parking spot and a lovely garden view. You will also"
Rakshak Nagar Gold,2,Kharadi,750,30000.0,Semi-Furnished,Pune,"Live in a peaceful setting with this two-bedroom, one-bathroom Flats in Kharadi, Pune, offering 750 square feet of semi-furnished living space on the second floor.This well-maintained property in Rakshak Nagar Gold provides a road view and is situated in a safe and secure locality, perfect for families. You will appreciate the ample parking space provided with one dedicated spot. Built"
Axis Paradigm Whistling Meadows,3,Paud Road,1500,33500.0,Unfurnished,Pune,"Here is a delightful 3-bedroom, 3-bathroom Flats ready for you to make your own on Paud Road in Pune. Located in Axis Paradigm Whistling Meadows, this unfurnished 1500 Square Feet home on the 5th floor of a 12-story building offers a bright and airy living space with a pleasant Road View.You`ll appreciate the convenience of having the metro station nearby, making"
Aarna Apartment,3,Senapati Bapat Road,1800,55000.0,Unfurnished,Pune,"Consider this spacious unfurnished 3-bedroom, 2-bathroom Flats on Senapati Bapat Road in Pune, located on the first floor of the 6-story Aarna Flats building.This 1800 square feet home offers a pleasant road view and comes with one dedicated parking space. Youll benefit from a range of amenities designed for convenience and comfort, including 24 x 7 security, CCTV surveillance, and"
Kolte Patil Green Acre,3,Salunkhe Vihar Society,1800,48000.0,Unfurnished,Pune,"Live life with a beautiful garden view from the third floor of this unfurnished three-bedroom, two-bathroom Flats in Kolte Patil Green Acre, Salunkhe Vihar Society, Pune.Priced at 48 thousand per month, this spacious 1800 square feet apartment offers plenty of room for your family. You will appreciate the convenience of three parking spaces, ensuring ample room for your vehicles. The"
Saroj Apartments Fatima Nagar,1,Fatima Nagar,560,18500.0,Semi-Furnished,Pune,"A comfortable 1-bedroom, 2-bathroom Flats awaits you in Fatima Nagar, Pune, at Saroj Flats.This semi-furnished space on the second floor offers a pleasant garden view and spans 560 square feet, making it a cozy place to call home. With two bathrooms, youll have extra convenience. The building has five floors, and this apartment is over 10 years old, providing a"
Kohinoor Tinsel County,2,Hinjewadi,1000,25000.0,Semi-Furnished,Pune,"A refreshing 2-bedroom, 2-bathroom Flats is available for rent in Pune Kohinoor Tinsel County, Hinjewadi, offering a comfortable living space with a Sea View for 25 thousand.This semi-furnished 1000 square feet apartment is situated in a building with 14 floors, and this unit is on the ground floor. Residents will enjoy access to a gymnasium, swimming pool, badminton courts, tennis"
Krishna Amarillo,2,Bhagwan Nagar,743,27000.0,Semi-Furnished,Pune,"Start your new chapter in Pune Bhagwan Nagar at Krishna Amarillo, where a semi-furnished 2-bedroom, 2-bathroom Flats on the 6th floor is available for rent.This 743 Square Feet home offers a peaceful garden view and comes with one dedicated parking spot. You`ll have access to fantastic amenities like a gymnasium, swimming pool, badminton and tennis courts, a squash court, kids`"
Royal Arcade Apartment,2,Kk Market,1000,22000.0,Semi-Furnished,Pune,"Find a practical and comfortable living space in Pune KK Market area with this semi-furnished, 1000 square feet Flats at Royal Arcade Flats.Priced at 22 thousand per month, this fourth-floor unit offers two bedrooms and two bathrooms, ideal for a small family or roommates. You will appreciate the road view from the apartment, which is also well-ventilated, ensuring a pleasant"
Benchmark Cyprus,3,Punawale,1450,28000.0,Semi-Furnished,Pune,"For those envisioning a refined living experience in Pune Punawale, a semi-furnished three-bedroom, three-bathroom Flats awaits you at Benchmark Cyprus, available for rent at 28,000 per month. This 1450 square feet home on the sixth floor of a sixteen-story building offers a tranquil garden view and a host of luxurious amenities designed for modern living.You will find a gymnasium, swimming pool,"
Sai Proviso Leisure Town,2,Hadapsar,566,35000.0,Furnished,Pune,"Here is a great option for a comfortable rental in Pune Hadapsar area.This furnished 2-bedroom, 2-bathroom Flats in Sai Proviso Leisure Town is located on the 11th floor, offering a pleasant garden view. Spanning 566 Square Feet, the apartment comes with 1 dedicated parking space and is perfect for those seeking a convenient and well-equipped living space. The property boasts"
Lalwani Residency,2,Viman Nagar,1110,33000.0,Semi-Furnished,Pune,"Consider this semi-furnished 2-bedroom, 2-bathroom Flats in Pune Viman Nagar for rent at 33 thousand.This 1110 square feet home is located on the 3rd floor of a 7-story building and comes with 1 dedicated parking spot. Enjoy a pleasant garden view from your living space, which receives plenty of natural sunlight. The property is in a safe and secure locality,"
Kumar Princetown,2,Undri,576,25000.0,Semi-Furnished,Pune,"Discover your ideal living space in the heart of Undri, Pune, with this charming 2bedroom, 2bathroom semifurnished Flats available for rent at an attractive price of 25 thousand.Nestled within the esteemed Kumar Princetown project, this residence offers a perfect blend of comfort and modern living, making it an excellent choice for families seeking a prime location. Spanning 576 square feet,"
Shivalik Heights,2,Tingre Nagar,1530,30000.0,Furnished,Pune,"Securing a comfortable living space in Pune well-connected Tingre Nagar area is now within reach with this attractive 2-bedroom, 2-bathroom Flats available for rent in Shivalik Heights.Spanning a generous 1530 square feet, this furnished property is situated on the second floor, offering a pleasant road view and the convenience of one dedicated parking spot. You will appreciate the array of"
K Raheja Raheja Residency,2,Malad East,937,73000.0,Semi-Furnished,Mumbai,"Find a comfortable and luxurious home in Mumbai Malad East with this semi-furnished, 2-bedroom, 2-bathroom Flats in K Raheja Raheja Residency, available for rent at 73 thousand per month. Spanning 937 square feet on the 17th floor of a 20-story building, this Vastu-compliant apartment offers a road view and boasts an impressive array of amenities including a gymnasium, swimming pool, kids`"
Fairmont Reyhaan Terraces,2,Khan Estate,1130,62000.0,Unfurnished,Mumbai,"A bright and airy 2-bedroom, 2-bathroom unfurnished Flats is available for rent in Mumbai Khan Estate, offering a comfortable lifestyle within the Fairmont Reyhaan Terraces project.This 1130 square feet home on the 17th floor of a 23-story building benefits from plenty of natural sunlight, making it an affordable and inviting space for families. As part of a gated society, you"
Imperial Heights Goregaon West,3,Goregaon West,1485,130000.0,Semi-Furnished,Mumbai,"Discover your next home in Goregaon West, Mumbai, a beautifully semi-furnished 3-bedroom, 3-bathroom Flats on the 20th floor of Imperial Heights. This spacious 1485 square feet residence boasts a road view and is designed to be Vastu compliant, offering a well-ventilated and peaceful living environment.Priced at 1.3 Lac for rent, it features modern amenities including a gymnasium, kids` play areas, 24x7"
Dunkeld Apartment,3,Vasant Vihar,2250,500000.0,Semi-Furnished,Mumbai,"For those seeking a premium living experience in Mumbai sought-after Vasant Vihar area, this semi-furnished 3-bedroom Flats in Dunkeld Flats presents an excellent rental opportunity.Priced at 5 Lac, this residence boasts 2250 square feet of well-designed living space, located on the 3rd floor of a 6-story building. You will find the property to be fully renovated and situated in a"
BM Satyam Solaris,2,Deonar,700,75000.0,Semi-Furnished,Mumbai,"Settle into a vibrant lifestyle with this inviting 2-bedroom, 2-bathroom Flats in BM Satyam Solaris, Deonar, Mumbai, available for rent at 75 thousand per month.Spread across 700 square feet on the 5th floor of a 15-story building, this semi-furnished home offers a pleasant road view and comes with the convenience of 1 dedicated parking spot. You`ll have access to a"
Queens Park Apartments,1,Juhu,610,78000.0,Semi-Furnished,Mumbai,"Life in Mumbai popular Juhu area gets an upgrade with this semi-furnished, 1-bedroom Flats at Queens Park Flats, available for rent at 80 thousand per month.Situated on the 3rd floor of a 6-story building, this 610 square feet home offers a pleasant park view from the 3rd floor. You will appreciate the convenience of 24 x 7 security with security"
Radhika Residency Tilak Nagar,2,Tilak Nagar,936,70000.0,Semi-Furnished,Mumbai,"Consider this bright and airy 2-bedroom, 2-bathroom Flats at Radhika Residency Tilak Nagar in Mumbai for your next home. Priced at 70 thousand per month, this semi-furnished 936 square feet apartment is on the 9th floor of a 16-story building and offers a pleasant road view.You will appreciate the ample natural light and ventilation making it a comfortable living space.The apartment"
Kalpataru Aura,2,Ghatkopar West,1001,90000.0,Furnished,Mumbai,"Securing a well-equipped Flats for rent in Mumbai Ghatkopar West could be your next step towards a comfortable urban lifestyle. This furnished two-bedroom, two-bathroom apartment in Kalpataru Aura offers 1001 square feet of living space on the 14th floor of an 18-story building, featuring a pleasant garden view.Priced at 90,000 per month, it includes one parking space and is well-suited for"
Lodha New Cuffe Parade Dioro And Elisium,2,Wadala Truck Terminal,925,125000.0,Semi-Furnished,Mumbai,"A pleasant garden view from your new Flats in Wadala Truck Terminal, Mumbai, could be yours for 89,999 per month.This well-ventilated, Vastu-compliant, semi-furnished 2-bedroom, 3-bathroom apartment is located in the gated society of Lodha New Cuffe Parade Dioro And Elisium. Spread across 925 square feet, this home offers ample space and boasts excellent amenities including a gymnasium, swimming pool, badminton"
Raghav Marvel,2,Kurla East,629,65000.0,Unfurnished,Mumbai,"Here is a wonderful 2-bedroom, 2-bathroom Flats available for rent in Kurla East, Mumbai, located in the Raghav Marvel project on the 14th floor of an 18-story building, offering a pleasant garden view.This unfurnished apartment spans 629 square feet and comes with 1 dedicated parking space, making it ideal for those who value both comfort and practicality. The property is"
Raheja Township,1,Raheja Twp,415,46000.0,Furnished,Mumbai,"Experience a lifestyle of convenience and comfort in Raheja Township, Mumbai, with this furnished one-bedroom, two-bathroom Flats.Situated on the second floor of a seven-story building, this property offers a generous 415 Square Feet of living space and boasts a stunning lake view. It an ideal choice for families or bachelors seeking a well-maintained home in a prime location, featuring a"
Poonam Jewel,2,Poonam Nagar,950,60000.0,Semi-Furnished,Mumbai,"You can now live in Poonam Nagar, Mumbai, in this well-kept 950 Square Feet Flats located on the 6th floor of Poonam Jewel.This semi-furnished 2 bedroom, 2 bathroom home offers a pleasant garden view and is ideal for bachelors or small families looking for a safe and secure environment with the convenience of high-speed elevators. The property, which is 8-10"
Leo Tower Apartments,2,Juhu,650,90000.0,Furnished,Mumbai,"Find your ideal urban retreat in Juhu, Mumbai, with this furnished two-bedroom, two-bathroom Flats in the prestigious Leo Tower Flats, available for rent at 90 thousand. Spanning a comfortable 650 square feet, this apartment is perfect for those seeking a modern and convenient city lifestyle.Residents will enjoy access to fantastic amenities including dedicated kids` play areas, a jogging and cycle track"
Velentine Tower,2,Goregaon East,670,55000.0,Unfurnished,Mumbai,"A 2-bedroom, 2-bathroom unfurnished Flats in Mumbai Goregaon East is available for rent, offering 670 square feet of living space for 55 thousand per month.This property in Velentine Tower, with an age of 2-4 years, provides one dedicated parking spot, perfect for those looking for a practical and well-located home. You will appreciate the convenience of living in a sought-after"
Kalpataru Radiance,4,Motilal Nagar,2164,200000.0,Semi-Furnished,Mumbai,"For those seeking an elevated living experience in Mumbai Motilal Nagar, this expansive 4-bedroom, 5-bathroom Flats within the Kalpataru Radiance project presents a fantastic rental option.Spanning 2164 square feet, this semi-furnished residence offers ample space for a family to spread out and enjoy a comfortable lifestyle. Residents will have access to a comprehensive range of amenities designed for recreation and"
Alag Artis,2,Naidu Colony,600,50000.0,Unfurnished,Mumbai,"Discover the perfect rental opportunity in the vibrant locality of Naidu Colony, Mumbai.This spacious 2bedroom Flats in the esteemed Alag Artis project offers a contemporary living experience in a thriving city known for its energy and charm. Covering an area of 600 square feet, this unfurnished apartment provides a blank canvas for you to create your dream home, tailored to"
Bayview Terraces,4,Prabhadevi,3135,600000.0,Semi-Furnished,Mumbai,"Live a life of luxury and comfort in Mumbai Prabhadevi with this stunning 4-bedroom, 5-bathroom Flats in Bayview Terraces, available for rent at 6 Lac per month. This semi-furnished 3135 square feet home is situated on the 14th floor of a 35-story building, offering breathtaking sea views and a secure, well-ventilated environment that adheres to Vastu principles.You`ll enjoy access to a"
Sankalp II,2,Malad East,900,60000.0,Furnished,Mumbai,"Embrace a convenient lifestyle in Mumbai active Malad East neighborhood, within the established Sankalp II project, where this furnished two-bedroom, two-bathroom Flats is available for rent at 60 thousand per month.Spread across 900 square feet on the fifth floor of a seven-story building, this home offers a comfortable living space with essential amenities like kids` play areas, power backup, and"
Arsha Bharat,2,Goregaon West,670,62000.0,Unfurnished,Mumbai,"Find your new rental home in Mumbai Goregaon West, where the Arsha Bharat project presents a 670 square feet, two-bedroom, two-bathroom unfurnished Flats on the first floor for 62 thousand.This apartment offers a convenient road view and comes with essential amenities like a gymnasium, power backup, 24 x 7 security, CCTV security, and cleaning services to ensure a comfortable living"
Ashirwad Apartment Ghatkopar,2,Ghatkopar East,600,50000.0,Unfurnished,Mumbai,"Are you searching for a spacious and unfurnished 600 square feet, 2-bedroom, 2-bathroom Flats in the prime location of Ghatkopar East, Mumbai, for a monthly rent of 50,000.This property within Ashirwad Flats Ghatkopar is situated in a gated society, ensuring a safe and secure environment perfect for families. Its convenient location makes daily commutes and access to essential services effortless."
DSK Madhuban,3,Sakinaka,1491,100000.0,Furnished,Mumbai,"A pleasant living space is now available in Sakinaka, Mumbai, perfect for families and bachelors alike, offering a comfortable 3-bedroom, 3-bathroom furnished Flats in the DSK Madhuban project.This 1491 Square Feet home is situated on the 4th floor of a 12-story building, boasting a lovely park view and the convenience of 1 dedicated parking spot. You will find the building"
Ayaan Society,2,Wagholi,900,27000.0,Semi-Furnished,Pune,"Your next home could be this welcoming 2-bedroom, 2-bathroom Flats in Wagholi, Pune, available for rent at 27 thousand.Spanning 900 square feet on the 5th floor of the 12-story Ayaan Society, this semi-furnished residence offers a pleasant community view and features a private balcony perfect for relaxing. Inside, you`ll appreciate the convenience of a walk-in closet, adding to the apartment"
Chordia Solitaire Homes Pashan,2,Pashan,634,32000.0,Semi-Furnished,Pune,"Discover your perfect home in the soughtafter Chordia Solitaire Homes located in the vibrant locality of Pashan, Pune.This beautiful semifurnished 2bedroom Flats is available for rent at a competitive price of 32 thousand. Spanning across a generous area of 634 square feet, this residence is thoughtfully designed for both families and bachelors alike. The apartment offers a delightful park view,"
Megapolis Township,2,Hinjewadi,750,27000.0,Semi-Furnished,Pune,"Start your new chapter in Hinjewadi, Pune, with this semi-furnished, two-bedroom, two-bathroom Flats in the well-regarded Megapolis Township, available for rent at 27 thousand per month.Spread across 750 square feet on the eleventh floor of a thirteen-story building, this home offers a pleasant garden view and the peace of mind that comes with living in a gated society known for"
SSD Group Sai Elite,2,Pimple Nilakh,992,35000.0,Furnished,Pune,"Welcome to your new home in the vibrant locality of Pimple Nilakh, Pune! This beautifully furnished 2bedroom Flats in the prestigious SSD Group Sai Elite project offers a perfect blend of comfort and modern living.Spanning an impressive 992 square feet, this wellmaintained residence is situated on the top floor of a 5story building, ensuring you enjoy peaceful living with stunning"
Unique Youtopia,2,Kharadi,765,34000.0,Semi-Furnished,Pune,"Life in Pune Kharadi can be quite comfortable in this semi-furnished two-bedroom, two-bathroom Flats at Unique Youtopia, available for rent at 28 thousand.Spanning 765 square feet, this sixth-floor home offers a pleasant garden view and includes one dedicated parking spot. You will have access to a fantastic range of amenities like a gymnasium, swimming pool, badminton and tennis courts, kids`"
Darode Jog Blossom Bouleward,3,Ghorpadi Road,2000,90000.0,Semi-Furnished,Pune,"Consider settling into a spacious 3-bedroom, 3-bathroom Flats in Pune Ghorpadi Road area, a prime location known for its peaceful and secure surroundings with schools conveniently nearby.This semi-furnished home within Darode Jog Blossom Bouleward offers 2000 square feet of living space, complete with two parking spots. The community boasts a wide array of amenities designed for a fulfilling lifestyle, including"
Nyati Exuberance 1,2,Undri,701,20000.0,Unfurnished,Pune,"Discover your ideal living space in the heart of Undri, Pune with this stunning unfurnished Flats available for rent at an attractive price of 20 thousand.Situated in the highly soughtafter Nyati Exuberance 1, this modern residence offers a spacious area of 701 square feet, featuring two wellappointed bedrooms and two bathrooms, perfect for small families or professionals seeking a comfortable"
